Year,District,Potato_yield
2078,TAPLEJUNG,17.33
2078,SANKHUWASABHA,14.51
2078,SOLUKHUMBU,16.99
2078,PANCHTHAR,15.57
2078,ILLAM,19.50
2078,TERHATHUM,17.06
2078,DHANKUTA,19.40
2078,BHOJPUR,16.51
2078,KHOTANG,15.10
2078,OKHALDHUNGA,14.76
2078,UDAYAPUR,15.41
2078,JHAPA,16.83
2078,MORANG,17.47
2078,SUNSARI,16.48
2078,SAPTARI,15.60
2078,SIRAHA,15.30
2078,DHANUSHA,15.80
2078,MAHOTTARI,14.60
2078,SARLAHI,15.20
2078,RAUTAHAT,17.23
2078,BARA,15.80
2078,PARSA,16.02
2078,DOLAKHA,18.22
2078,SINDHUPALCHOK,16.74
2078,RASUWA,16.24
2078,RAMECHAP,15.14
2078,SINDHULI,18.35
2078,KAVRE,19.18
2078,BHAKTAPUR,21.83
2078,LALITPUR,19.49
2078,KATHMANDU,21.61
2078,NUWAKOT,18.33
2078,DHADING,14.80
2078,MAKAWANPUR,21.45
2078,CHITWAN,19.20
2078,MANANG,11.14
2078,MUSTANG,15.67
2078,GORKHA,9.43
2078,LAMJUNG,11.07
2078,TANAHU,15.17
2078,KASKI,25.88
2078,PARBAT,16.05
2078,SYANGJA,14.42
2078,MYAGDI,15.85
2078,BAGLUNG,14.98
2078,NAWALPARASI EAST,17.04
2078,PALPA,15.69
2078,GULMI,17.71
2078,ARGHAKHANCHI,12.40
2078,NAWALPARASI WEST,12.87
2078,RUPANDEHI,16.25
2078,KAPILBASTU,13.05
2078,DANG,14.30
2078,BANKE,16.88
2078,BARDIYA,15.87
2078,RUKUM EAST,19.53
2078,PYUTHAN,15.28
2078,ROLPA,16.30
2078,DOLPA,15.82
2078,MUGU,17.71
2078,HUMLA,18.22
2078,JUMLA,14.49
2078,KALIKOT,16.78
2078,RUKUM WEST,18.15
2078,SALYAN,19.32
2078,JAJARKOT,19.17
2078,DAILEKH,17.39
2078,SURKHET,17.79
2078,BAJURA,15.43
2078,BAJHANG,15.36
2078,DARCHULA,17.68
2078,ACHHAM,15.28
2078,DOTI,15.00
2078,BAITADI,17.54
2078,DADELDHURA,16.28
2078,KAILALI,16.57
2078,KANCHANPUR,18.20